PREFIX,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,F2,F2,F3,F3,F4,F5,Option,Text,Option 2 ,Text 2,Option 3 ,Text 3,Option 4,Text 4,Option 5,Text 5,PP Action,PP Action 2,PP Action 3,SDG Targets,,,,,,,
,,,,,,,,1,Helping others to generate less waste,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.1,Helping others to reduce the amount of waste they create,,,,,,,PP10.01,,,8.4,,,,,,,
,F1.2,,,,,,,,,,,,,,,,,PP10.01,,,11.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP10.01,,,12.4,,,,,,,
,,,,,,,,,,,,,,,,,,PP10.01,,,12.5,,,,,,,
,,,,,,,,,,,,1.1.1,Food waste,,,,,PP10.01,,,12.3,,,,,,,
,,,,,,,,,,,,1.1.2,Marine waste or pollution,,,,,PP10.01,,,14.1,,,,,,,
,,,,,,,,,,1.2,"Helping others to repurpose the waste they create (i.e. reuse, recycle or convert to energy)",,,,,,,PP10.02,,,8.4,,,,,,,
,,,,,,,,,,,,,,,,,,PP10.02,,,11.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP10.02,,,12.4,,,,,,,
,,,,,,,,,,,,,,,,,,PP10.02,,,12.5,,,,,,,
,,,,,,,,,,,,1.2.1,Food waste,,,,,PP10.02,,,12.3,,,,,,,
,,,,,,,,,,,,1.2.2,Marine waste or pollution,,,,,PP10.02,,,14.1,,,,,,,
,,,,,,,,2,Removing existing waste from the environment and repurposing it,,,,,,,,,PP11.01,,,8.4,,,,,,,
,F1.2,,,,,,,,,,,,,,,,,PP11.01,,,11.6,,,,,,,
,,,,,,,,,,2.1,Removing marine waste or pollution,,,,,,,PP11.01,,,14.1,,,,,,,
