PREFIX,X8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,F2,F2,F3,F3,F4,F5,Option,Text,Option 2 ,Text 2,Option 3 ,Text 3,Option 4,Text 4,Option 5,Text 5,PP Action,PP Action 2,PP Action 3,SDG Targets,,,,,,,
,,,,,,,,1,Improving economies and market mechanisms to benefit society or the environment,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.1,Providing access to markets for previously excluded people,,,,,,,PP18.06,,,10.2,,,,,,,
,,F2.1,,,,,,,,,,,,,,,,PP18.06,,,9.3,,,,,,,
,,F2.1,,,,,,,,,,1.1.1,Access for small-scale food producers,,,,,PP18.06,,,2.3,,,,,,,
,,F2.1,,,,,,,,,,1.1.2,Access for artisanal fishermen,,,,,PP18.06,,,14.b,,,,,,,
,,,,F3.3,,,,,,1.2,Improving and enforcing market regulatory requirements to benefit society or the environment,,,,,,,PP23.02,PP22.04,,10.2,,,,,,,
,,,,F3.3,,,,,,,,,,,,,,PP23.02,PP22.04,,10.5,,,,,,,
,,,,F3.3,,,,,,,,1.2.1,Regulation of the sale of marine resources,,,,,PP23.02,PP22.04,,14.c,,,,,,,
,,,,F3.3,,,,,,,,,,1.2.1.1,Regulation of overfishing,,,PP23.02,PP22.04,,14.4,,,,,,,
,,,,F3.3,,,,,,,,,,,,1.2.1.1.1,"Elimination of subsidies which encourage overfishing and illegal, unregulated fishing",PP23.02,PP22.04,,14.6,,,,,,,
,,,,,,,,,,1.3,"Establishing economic incentives to reward behaviours that benefit society or the environment (e.g. thematic investments, subsidies)",,,,,,,PP23.01,,,10.2,,,,,,,
,F1.1,,,F3.4,,,,,,,,1.3.1,Increasing third-party investment in development,,,,,PP23.01,,,10.b,,,,,,,
,,,,F3.4,,,,,,,,1.3.2,Increasing third-party investment in forest conservation,,,,,PP23.01,,,15.b,,,,,,,
,,,,,,,,,,1.4,"Removing economic incentives that harm society or the environment (e.g. subsidies, tariffs)",,,,,,,PP23.01,,,10.2,,,,,,,
,,,,,,,,,,,,1.4.1,Agricultural markets,,,,,PP23.01,,,2.b,,,,,,,
,,,,,,,,,,,,1.4.2,Removing or reducing fossil fuel subsidies,,,,,PP23.01,,,12.c,,,,,,,
,,,,,,,,,,1.5,"Providing markets with information necessary to make sustainable purchase decisions (e.g. product certifications, information technologies). ",,,,,,,PP23.04,,,10.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP23.04,,,12.8,,,,,,,
,,,,,,,,,,,,1.5.1,Information related to food commodities,,,,,PP23.04,,,2.c,,,,,,,
,,,,,,,,,,,,1.5.2,Integration of sustainability performance into corporate annual reports,,,,,PP23.04,,,12.6,,,,,,,
,,,,,,,,,,1.6,"Establishing voluntary agreements which benefit society or the environment (e.g. industry standards, working groups)",,,,,,,PP23.03,,,10.2,,,,,,,
,,,,,,,,,,,,1.6.1,Encouraging companies to report on sustainability performance,,,,,PP23.03,,,12.6,,,,,,,
,,,,,,,,2,"Improving governance (international, national, local or corporate) to benefit society or the environment",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.1,Promoting greater or more equal participation in decision-making in other institutions,,,,,,,PP22.02,,,16.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.02,,,16.7,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.02,,,10.2,,,,,,,
,,F2.3,,,,,,,,,,,,,,,,PP22.02,,,5.5,,,,,,,
,,F2.3,,F3.3,,,,,,,,,,,,,,PP22.02,,,5.c,,,,,,,
,F1.1,,,,,,,,,,,2.1.1,Increasing participation of developing countries in global governance,,,,,PP22.02,,,10.6,,,,,,,
,F1.1,,,,,,,,,,,,,,,,,PP22.02,,,16.8,,,,,,,
,,,,,,,,,,2.2,Increasing accountability in other institutions (i.e. taking full ownership and responsibility for actions),,,,,,,PP22.01,,,16.5,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.01,,,16.6,,,,,,,
,,,,,,,,,,2.3,Increasing responsiveness in other institutions (i.e. enabling adaptation to address society's changing needs),,,,,,,PP22.03,,,16.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.03,,,16.7,,,,,,,
,,,,,,,,,,,,2.3.1,Implementing climate change adaptation and mitigation measures and planning,,,,,PP22.03,,,13.3,,,,,,,
,F1.2,,,F3.3,,,,,,,,,,,,,,PP22.03,,,11.b,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.03,,,13.b,,,,,,,
,F1.1,,,F3.3,F3.4,,,,,,,2.3.2,Alleviating or eradicating poverty,,,,,PP22.03,,,1.a,,,,,,,
,,,,F3.3,,,,,,2.4,Increasing responsibility in other institutions (i.e. helping them safeguard human rights and the environment),,,,,,,PP22.04,,,,,,,,,,
,,,,,,,,,,2.5,Increasing transparency in other institutions (i.e. information relating to decisions is readily available and accessible),,,,,,,PP22.05,,,16.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.05,,,16.10,,,,,,,
,,,,,,,,,,2.6,Reducing bribery and corruption in other institutions,,,,,,,PP22.01,,,16.6,,,,,,,
,,,,,,,,,,,,,,,,,,PP22.01,,,16.5,,,,,,,
